Category,Entity,Question,Answer
cricket_team,Gibraltar_national_cricket_team,Who were the individual(s) serving as the t20i captain during the tenure of Paul Edgellar as the coach of the Gibraltar national cricket team?,Balaji Pai
cricket_team,Gibraltar_national_cricket_team,Name the person(s) who served as the coach when Balaji Pai was the t20i captain of the Gibraltar national cricket team.,Paul Edgellar
cricket_team,Gibraltar_national_cricket_team,Does the Gibraltar national cricket team have the best win percentage in the t20i format in 2019 or 2022?(Answer in year)(Include no results/ties/draws in total number of matches.),2022
cricket_team,Gibraltar_national_cricket_team,In which year did Avinash Pai first assume the role of t20i_captain for the Gibraltar national cricket team?,2023
cricket_team,Gibraltar_national_cricket_team,What is the ratio of wins to losses for the Gibraltar national cricket team in the t20i format for 2019?(Answer in decimal form.),0
cricket_team,Bahrain_national_cricket_team,Name the person(s) who served as the t20i captain when Shahzaib Hasan was the coach of the Bahrain national cricket team.,"Haider Butt, Sarfaraz Ali"
cricket_team,Bahrain_national_cricket_team,Who were the individual(s) serving as the coach during the tenure of Al Amin Shehzad as the t20i captain of the Bahrain national cricket team?,Younis Khan
cricket_team,Bahrain_national_cricket_team,Does the Bahrain national cricket team have the best win percentage in the t20i format in 2019 or 2022?(Answer in year)(Include no results/ties/draws in total number of matches.),2019
cricket_team,Bahrain_national_cricket_team,In which year did Sarfaraz Ali first assume the role of t20i_captain for the Bahrain national cricket team?,2023
cricket_team,Bahrain_national_cricket_team,"How long did Haider Butt serve as the t20i captain of Bahrain national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",91 days
cricket_team,Bahrain_national_cricket_team,"Who had the longest stint as the t20i captain of the Bahrain national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Al Amin Shehzad
cricket_team,Bahrain_national_cricket_team,"Which person had the shortest tenure as the t20i captain of the Bahrain national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Haider Butt
cricket_team,Bahrain_national_cricket_team,How many individuals took on the role of t20i captain of the Bahrain national cricket team?,3
cricket_team,Bahrain_national_cricket_team,Who served as the t20i captain of the Bahrain national cricket team prior to Haider Butt?,Al Amin Shehzad
cricket_team,Bahrain_national_cricket_team,Who assumed the role of t20i captain for the Bahrain national cricket team following Al Amin Shehzad?,Haider Butt
cricket_team,Bahrain_national_cricket_team,Who assumed the role of t20i captain for the Bahrain national cricket team following Haider Butt?,Sarfaraz Ali
cricket_team,Bahrain_national_cricket_team,Who were the individual(s) who acted as the coach of the Bahrain national cricket team in 2023?,Shahzaib Hasan
cricket_team,Bahrain_national_cricket_team,What was the highest ranking achieved by the Bahrain national cricket team in the t20i format in 2023?,28
cricket_team,Bahrain_national_cricket_team,What is the ratio of wins to losses for the Bahrain national cricket team in the t20i format for 2019?(Answer in decimal form.),1
cricket_team,United_Arab_Emirates_national_cricket_team,Name the person(s) who served as the coach when Ahmed Raza (Emirati cricketer) was the od captain of the United Arab Emirates national cricket team.,"Robin Singh (cricketer), Dougie Brown"
cricket_team,United_Arab_Emirates_national_cricket_team,Name the person(s) who served as the od captain when Chundangapoyil Rizwan was the t20i captain of the United Arab Emirates national cricket team.,Ahmed Raza (Emirati cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,Does the United Arab Emirates national cricket team have the best win percentage in the odi format in 2019 or 2022?(Answer in year)(Include no results/ties/draws in total number of matches.),2022
cricket_team,United_Arab_Emirates_national_cricket_team,Who was the od captain when t20i captain was Chundangapoyil Rizwan and coach was Robin Singh (cricketer) of the United Arab Emirates national cricket team?,Ahmed Raza (Emirati cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,Who was the coach when t20i captain was Chundangapoyil Rizwan and od captain was Ahmed Raza (Emirati cricketer) of the United Arab Emirates national cricket team?,Robin Singh (cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,"What was the duration of Mohammad Naveed's tenure as the od captain of United Arab Emirates national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",334 days
cricket_team,United_Arab_Emirates_national_cricket_team,"Who had the shortest stint as the od captain of the United Arab Emirates national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Mohammad Naveed
cricket_team,United_Arab_Emirates_national_cricket_team,How many people served as the coach of the United Arab Emirates national cricket team?,2
cricket_team,United_Arab_Emirates_national_cricket_team,Who served as the t20i captain of the United Arab Emirates national cricket team prior to Chundangapoyil Rizwan?,Ahmed Raza (Emirati cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,Who was the coach of the United Arab Emirates national cricket team before Robin Singh (cricketer)?,Dougie Brown
cricket_team,United_Arab_Emirates_national_cricket_team,Who assumed the role of coach for the United Arab Emirates national cricket team following Dougie Brown?,Robin Singh (cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,Who was the t20i captain of United Arab Emirates national cricket team after Ahmed Raza (Emirati cricketer)?,Chundangapoyil Rizwan
cricket_team,United_Arab_Emirates_national_cricket_team,Name the person(s) who served as the coach of the United Arab Emirates national cricket team in 2022.,Robin Singh (cricketer)
cricket_team,United_Arab_Emirates_national_cricket_team,What was the highest ranking achieved by the United Arab Emirates national cricket team in the odi format in 2022?,13
cricket_team,United_Arab_Emirates_national_cricket_team,what was the best t20i rank of the United Arab Emirates national cricket team in 2022?,12
cricket_team,United_Arab_Emirates_national_cricket_team,What is the ratio of wins to losses for the United Arab Emirates national cricket team in the t20i format for 2019?(Answer in decimal form.),1.67
cricket_team,Denmark_national_cricket_team,Who were the individual(s) serving as the coach during the tenure of Frederik Klokker as the t20i captain of the Denmark national cricket team?,"Ruan Louw, Keith Dabengwa"
cricket_team,Denmark_national_cricket_team,Who were the individual(s) serving as the t20i captain during the tenure of Ruan Louw as the coach of the Denmark national cricket team?,Frederik Klokker
cricket_team,Denmark_national_cricket_team,Name the person(s) who served as the t20i captain when Jeremy Bray (cricketer) was the coach of the Denmark national cricket team.,Hamid Shah
cricket_team,Denmark_national_cricket_team,Was the Denmark national cricket team's win percentage the highest in the t20i format in either 2019 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2019
cricket_team,Denmark_national_cricket_team,"What was the duration of Frederik Klokker's tenure as the t20i captain of Denmark national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",132 days
cricket_team,Denmark_national_cricket_team,"Who had the longest stint as the t20i captain of the Denmark national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Hamid Shah
cricket_team,Denmark_national_cricket_team,How many individuals took on the role of t20i captain of the Denmark national cricket team?,2
cricket_team,Denmark_national_cricket_team,How many people served as the coach of the Denmark national cricket team?,3
cricket_team,Denmark_national_cricket_team,Who was the coach of the Denmark national cricket team before Keith Dabengwa?,Ruan Louw
cricket_team,Denmark_national_cricket_team,Who was the coach of Denmark national cricket team after Jeremy Bray (cricketer)?,Ruan Louw
cricket_team,Denmark_national_cricket_team,What is the ratio of wins to losses for the Denmark national cricket team in the t20i format for 2019?(Answer in decimal form.),1.33
cricket_team,Denmark_national_cricket_team,What is the ratio of wins to losses for the Denmark national cricket team in the t20i format for 2021?(Answer in decimal form.),0.29
cricket_team,New_Zealand_national_cricket_team,Name the person(s) who served as the test captain when Gary Stead was the coach of the New Zealand national cricket team.,"Tim Southee, Kane Williamson"
cricket_team,New_Zealand_national_cricket_team,Name the person(s) who served as the coach when Tim Southee was the test captain of the New Zealand national cricket team.,Gary Stead
cricket_team,New_Zealand_national_cricket_team,Name the person(s) who served as the t20i captain when Tim Southee was the test captain of the New Zealand national cricket team.,Kane Williamson
cricket_team,New_Zealand_national_cricket_team,Was the New Zealand national cricket team's win percentage the highest in the odi format in either 2019 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2021
cricket_team,New_Zealand_national_cricket_team,"Name the person(s) who served as the t20i captain during the tenure of Tim Southee and Gary Stead as the test captain and coach, respectively, of the New Zealand national cricket team.",Kane Williamson
cricket_team,New_Zealand_national_cricket_team,"Name the person(s) who served as the coach during the tenure of Kane Williamson and Tim Southee as the t20i captain and test captain, respectively, of the New Zealand national cricket team.",Gary Stead
cricket_team,New_Zealand_national_cricket_team,"What was the duration of Kane Williamson's tenure as the test captain of New Zealand national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",1462 days
cricket_team,New_Zealand_national_cricket_team,"Who had the shortest stint as the od captain of the New Zealand national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Kane Williamson
cricket_team,New_Zealand_national_cricket_team,How many people served as the od captain of the New Zealand national cricket team?,1
cricket_team,New_Zealand_national_cricket_team,How many people served as the coach of the New Zealand national cricket team?,1
cricket_team,New_Zealand_national_cricket_team,Who was the test captain of the New Zealand national cricket team before Tim Southee?,Kane Williamson
cricket_team,New_Zealand_national_cricket_team,Who assumed the role of test captain for the New Zealand national cricket team following Kane Williamson?,Tim Southee
